SEASON,MATCH_TYPE,PLAYER_NAME,PLAYER_ID,GP,W,L,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG3M,FG3A,FTM,FTA,FGM_2,FG3M_2,FTM_2,DD,TD,FP,PIE,FG_PCT,FG3_PCT,FT_PCT,MVP,ROY,DPOY,MIP,6MOY,All-NBA-Team,All-Defensive-Team,All-Rookie-Team,All-Star,All-Star-MVP,Finals-MVP,POTW,POTM,ROTM,ROOKIE_SEASON
1946-47,Finals,Alexander Rosenberg,78017,5,4,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1946-47,Finals,Angelo Musi,77677,5,4,1,0.0,47.0,0.0,1.0,0.0,0.0,0.0,21.0,74.0,0.0,0.0,5.0,12.0,20.0,0.0,5.0,0,0,0.0,0.0,0.2703,,0.4167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1946-47,Finals,Art Hillhouse,77027,5,4,1,0.0,38.0,0.0,5.0,0.0,0.0,0.0,11.0,30.0,0.0,0.0,16.0,19.0,8.0,0.0,16.0,0,0,0.0,0.0,0.2667,,0.8421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1946-47,Finals,Bill Davis,76538,5,1,4,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,2.0,3.0,2.0,0.0,2.0,0,0,0.0,0.0,0.1818,,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1946-47,Finals,Chet Carlisle,76341,4,0,4,0.0,39.0,0.0,2.0,0.0,0.0,0.0,15.0,47.0,0.0,0.0,9.0,13.0,14.0,0.0,9.0,0,0,0.0,0.0,0.2979,,0.6923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1946-47,Finals,Chuck Gilmur,76818,5,1,4,0.0,34.0,0.0,1.0,0.0,0.0,0.0,16.0,46.0,0.0,0.0,2.0,3.0,14.0,0.0,2.0,0,0,0.0,0.0,0.3043,,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1946-47,Finals,Chuck Halbert,76918,5,1,4,0.0,72.0,0.0,2.0,0.0,0.0,0.0,22.0,98.0,0.0,0.0,28.0,52.0,20.0,0.0,28.0,0,0,0.0,0.0,0.2041,,0.5385,0,0,0,0,0,2,0,0,0,0,0,0,0,0,True
1946-47,Finals,Don Carlson,76344,5,1,4,0.0,62.0,0.0,2.0,0.0,0.0,0.0,24.0,65.0,0.0,0.0,14.0,18.0,19.0,0.0,14.0,0,0,0.0,0.0,0.2923,,0.7778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1946-47,Finals,Doyle Parrack,77803,3,0,3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0,0,0.0,0.0,0.0,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1946-47,Finals,George Senesky,78115,5,4,1,0.0,57.0,0.0,4.0,0.0,0.0,0.0,21.0,54.0,0.0,0.0,15.0,18.0,16.0,0.0,15.0,0,0,0.0,0.0,0.2963,,0.8333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
