SEASON,MATCH_TYPE,PLAYER_NAME,PLAYER_ID,GP,W,L,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG3M,FG3A,FTM,FTA,FGM_2,FG3M_2,FTM_2,DD,TD,FP,PIE,FG_PCT,FG3_PCT,FT_PCT,MVP,ROY,DPOY,MIP,6MOY,All-NBA-Team,All-Defensive-Team,All-Rookie-Team,All-Star,All-Star-MVP,Finals-MVP,POTW,POTM,ROTM,ROOKIE_SEASON,PPG,RPG,APG,SPG,BPG,TPG,FG3APG,FG3MPG,FTMPG,FTAPG,WIN_PCT,GP_PCT,MINPG
2000-01,Regular,A.C. Green,920,82,50,32,1411.83333333333,367,313,39,30,8,45,144,324,0,6,79,111,144,0,79,3,0,870.1,2.31650270684478,0.4444,0.0,0.7117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,4.5,3.8,0.5,0.4,0.1,0.5,0.1,0.0,1.0,1.4,0.61,1.0,17.2
2000-01,Regular,A.J. Guyton,2062,33,6,27,628.55,198,36,64,9,5,24,78,192,27,69,15,18,78,27,15,0,0,355.2,0.796810420802904,0.4062,0.3913,0.8333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,6.0,1.1,1.9,0.3,0.2,0.7,2.1,0.8,0.5,0.5,0.182,0.402,19.0
2000-01,Regular,Aaron McKie,243,76,51,25,2390.8,878,311,377,106,8,203,338,714,53,170,149,194,338,53,149,8,2,1955.7,5.6927599508715,0.4734,0.3118,0.768,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False,11.6,4.1,5.0,1.4,0.1,2.7,2.2,0.7,2.0,2.6,0.671,0.927,31.5
2000-01,Regular,Aaron Williams,1425,82,26,56,2334.03333333333,838,590,88,59,113,132,297,650,0,2,244,310,297,0,244,12,0,2062.0,4.63276649019345,0.4569,0.0,0.7871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,10.2,7.2,1.1,0.7,1.4,1.6,0.0,0.0,3.0,3.8,0.317,1.0,28.5
2000-01,Regular,Adam Keefe,228,67,14,53,841.883333333333,168,209,36,28,20,40,64,159,1,3,39,63,64,1,39,0,0,576.8,0.948665341618871,0.4025,0.3333,0.619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,2.5,3.1,0.5,0.4,0.3,0.6,0.0,0.0,0.6,0.9,0.209,0.817,12.6
2000-01,Regular,Adonal Foyle,1502,58,8,50,1460.36666666667,342,405,48,31,156,79,156,375,0,0,30,68,156,0,30,7,0,1382.0,2.27862892880289,0.416,,0.4412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,5.9,7.0,0.8,0.5,2.7,1.4,0.0,0.0,0.5,1.2,0.138,0.707,25.2
2000-01,Regular,Adrian Griffin,1559,44,16,28,375.916666666667,93,87,27,18,5,18,33,97,9,26,18,24,33,9,18,0,0,288.9,0.551461644185658,0.3402,0.3462,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,2.1,2.0,0.6,0.4,0.1,0.4,0.6,0.2,0.4,0.5,0.364,0.537,8.5
2000-01,Regular,Al Harrington,1733,78,39,39,1892.58333333333,586,381,130,63,18,148,241,543,1,7,103,157,241,1,103,8,0,1333.2,2.62643822308095,0.4438,0.1429,0.6561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,7.5,4.9,1.7,0.8,0.2,1.9,0.1,0.0,1.3,2.0,0.5,0.951,24.3
2000-01,Regular,Alan Henderson,673,73,20,53,1808.01666666667,769,406,50,51,29,126,298,671,0,1,173,271,298,0,173,11,0,1445.2,3.14165046160332,0.4441,0.0,0.6384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,10.5,5.6,0.7,0.7,0.4,1.7,0.0,0.0,2.4,3.7,0.274,0.89,24.8
2000-01,Regular,Allan Houston,275,78,45,33,2857.9,1459,283,173,52,10,161,542,1208,96,252,279,307,542,96,279,0,0,2083.1,6.81601681587164,0.4487,0.381,0.9088,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,18.7,3.6,2.2,0.7,0.1,2.1,3.2,1.2,3.6,3.9,0.577,0.951,36.6
2000-01,Regular,Allen Iverson,947,71,50,21,2975.91666666667,2207,273,325,178,20,237,762,1813,98,306,585,719,762,98,585,4,0,3379.1,9.40817691755479,0.4203,0.3203,0.8136,1,0,0,0,0,1,0,0,1,1,0,2,1,0,False,31.1,3.8,4.6,2.5,0.3,3.3,4.3,1.4,8.2,10.1,0.704,0.866,41.9
2000-01,Regular,Alonzo Mourning,297,13,8,5,305.966666666667,177,101,12,4,31,28,73,141,0,1,31,55,73,0,31,2,0,393.2,1.02777171088998,0.5177,0.0,0.5636,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,13.6,7.8,0.9,0.3,2.4,2.2,0.1,0.0,2.4,4.2,0.615,0.159,23.5
2000-01,Regular,Alvin Williams,1541,82,47,35,2391.31666666667,802,212,407,123,26,103,330,767,33,108,109,145,330,33,109,8,1,2010.9,4.8550270343167,0.4302,0.3056,0.7517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,9.8,2.6,5.0,1.5,0.3,1.3,1.3,0.4,1.3,1.8,0.573,1.0,29.2
2000-01,Regular,Andre Miller,1889,82,30,52,2846.58333333333,1296,360,657,119,28,265,452,999,17,64,375,450,452,17,375,22,0,2889.5,8.64718618530681,0.4525,0.2656,0.8333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15.8,4.4,8.0,1.5,0.3,3.2,0.8,0.2,4.6,5.5,0.366,1.0,34.7
